"%s %s cycle.","Период: %s %s."
"* Required Fields","* Обязательные поля"
"--Please Select--","--Выберите--"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"<label>Make Check payable to:</label> %s","<label>Сделать чек оплачиваемым для:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Разрешить сбой оплаты первоначального взноса"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Authorize action is not available.","Authorize action is not available."
"Auto Bill on Next Cycle","Добавить задолженность к следующему периоду"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Автоматически добавить сумму задолженности при следующем цикле оплаты (если были неудавшиеся платежи)."
"Bank Transfer Payment","Bank Transfer Payment"
"Billing Agreement status is not set.","Статус платёжного соглашения не установлен."
"Billing Amount","Billing Amount"
"Billing Frequency","Количество оплат за период действия услуги"
"Billing Period","Периодичность оплаты"
"Billing Period Unit","Период действия услуги"
"Billing period unit is not defined or wrong.","Billing period unit is not defined or wrong."
"Cannot load configuration for payment method ""%s""","Cannot load configuration for payment method ""%s"""
"Cannot retrieve payment method instance.","Cannot retrieve payment method instance."
"Cannot retrieve the payment info model object.","Cannot retrieve the payment info model object."
"Cannot retrieve the payment information object instance.","Cannot retrieve the payment information object instance."
"Cannot retrieve the payment method code.","Cannot retrieve the payment method code."
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Capture action is not available.","Capture action is not available."
"Card Verification Number","Проверочный код карты"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Check / Money Order"
"Credit Card Number","Номер кредитной карты"
"Credit Card Number: xxxx-%s","Номер кредитной карты: хххх- %s"
"Credit Card Type","Тип кредитной карты"
"Credit Card Type: %s","Тип кредитной карты: %s"
"Credit Card Types","Типы кредитных карт"
"Credit card number mismatch with credit card type.","Credit card number mismatch with credit card type."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Currency","Валюта"
"Currency code is undefined.","Код валюты не определён."
"Customer ID is not set.","ИД клиента не установлен."
"Day","День"
"Debug Mode","Режим отладки"
"Enabled","Включено"
"Expiration Date","Дата истечения срока действия"
"Expiration Date: %s/%s","Дата истечения срока действия: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Полное имя персоны, получившей товар или периодеческую услугу."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Initial Fee","Первоначальный взнос"
"Initial non-recurring payment amount due immediately upon profile creation.","Взымается один раз при оформлении услуги."
"Instructions","Инструкции"
"Internal Reference ID","Internal Reference ID"
"Invalid Credit Card Number","Invalid Credit Card Number"
"Issue Number","Issue Number"
"Make Check Payable to","Сделать чек оплачиваемым для:"
"Make Check payable to:","Сделать чек оплачиваемым для:"
"Make Check payable to: %s","Сделать чек оплачиваемым для: %s"
"Maximum Billing Cycles","Максимальное количество автопродлений услуги"
"Maximum Order Total","Максимальная сумма заказа"
"Maximum Payment Failures","Maximum Payment Failures"
"Maximum Trial Billing Cycles","Максимальное количество автопродлений услуги"
"Merchant ID","ИД продавца"
"Merchant Id","ИД продавца"
"Minimum Order Total","Минимальная сумма заказа"
"Month","Месяц"
"N/A","Н/Д"
"Name on Card","Имя на карте"
"Name on the Card","Имя на карте"
"Name on the Card: %s","Имя на карте: %s"
"New Order Status","Статус нового заказа"
"Number of billing periods that make up one billing cycle.","Количество оплат, которые будут состовлять один цикл автопродления."
"Order action is not available.","Order action is not available."
"Overrides API URL that may be specified by a payment method.","Overrides API URL that may be specified by a payment method."
"Password","Пароль"
"Payment ID: %s","ИД платежа: %s"
"Payment Method","Метод оплаты"
"Payment Methods","Методы оплаты"
"Payment Methods Section","Раздел методов оплаты"
"Payment Reference ID","Payment Reference ID"
"Payment Services","Платёжные сервисы"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment method code is not set.","Payment method code is not set."
"Payment method code is undefined.","Payment method code is undefined."
"Payment profile is invalid:\n%s","Payment profile is invalid:\n%s"
"Period frequency is wrong.","Period frequency is wrong."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Processor ID","Processor ID"
"Processor Id","Processor Id"
"Purchase Order","Заказ"
"Purchase Order Number","Номер заказа"
"Purchase Order Number:","Номер заказа"
"Purchase Order Number: %s","Номер заказа: %s"
"Recurring Profile Start Date","Начало действия периодической услуги"
"Recurring profile start date has invalid format.","Дата начала периодической услуги имеет некорректный формат."
"Reference ID is not set.","Reference ID is not set."
"Refund action is not available.","Refund action is not available."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Будет повторяться пока не закончится или услуга не будет отменена."
"Request Card Security Code","Request Card Security Code"
"Saved CC","Saved CC"
"Schedule Description","Schedule Description"
"Schedule description must be not empty.","Schedule description must be not empty."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Send Check to","Отправить чек к"
"Send Check to:","Отправить чек к:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping Amount","Shipping Amount"
"Short description of the recurring payment. By default equals to the product name.","Краткое описание услуги. По умолчанию: название товара."
"Sort Order","Порядок сортировки"
"Start Date","Дата начала"
"Start date has invalid format.","У даты начала неверный формат."
"Start date is undefined.","Дата начала не определена."
"Subscriber Name","Имя подписчика"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Только Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Date"
"Tax Amount","Tax Amount"
"Test Mode","Тестовый режим"
"The date when billing for the profile begins.","The date when billing for the profile begins."
"The number of billing cycles for payment period.","Если Вы оставите после пустым, то услуга будет автоматически продлеваться до тех пор, пока не будет отменена или приостановлена покупателем или администратором."
"The number of scheduled payments that can fail before the profile is automatically suspended.","The number of scheduled payments that can fail before the profile is automatically suspended."
"The payment review action is unavailable.","The payment review action is unavailable."
"The requested Payment Method is not available.","The requested Payment Method is not available."
"Title","Заголовок"
"Trial Billing Amount","Стоимость услуги на пробный период"
"Trial Billing Frequency","Количество оплат за период действия услуги"
"Trial Billing Period Unit","Период действия услуги"
"Trial Period","Trial Period"
"Trial billing amount is wrong.","Trial billing amount is wrong."
"Trial billing period unit is wrong.","Trial billing period unit is wrong."
"Trial period frequency is wrong.","Trial period frequency is wrong."
"Trial period max cycles is wrong.","Trial period max cycles is wrong."
"Two Weeks","Две недели"
"Unable to save Billing Agreement:","Unable to save Billing Agreement:"
"Unit for billing during the subscription period.","Единица измерения периода."
"Unsupported currency code: %s.","Unsupported currency code: %s."
"Void action is not available.","Void action is not available."
"Week","Неделя"
"What is this?","Что это?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Если Вы укажете значение ""Да"", то при сбое оплаты первоначального взноса система, несмотря на это, предоставит покупателю услугу, а первоначальный взнос попытается взять тогда, когда подойдёт время следующего платежа. Если же Вы укажете значение ""Нет"", то при сбое оплаты первоначального взноса, действие услуги будет приостановлено."
"Wrong %s specified.","Wrong %s specified."
"Wrong or empty billing amount specified.","Wrong or empty billing amount specified."
"Year","Год"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
